nginx-{openssl-1.0.2e}{zlib-1.2.11}, 0, 0, 397, 7
nginx-{openssl-1.0.2f}{zlib-1.2.9}, 0, 0, 399, 5
nginx-{openssl-1.0.2g}{zlib-1.2.8}, 0, 0, 404, 5
nginx-{openssl-1.0.2h}{zlib-1.2.8}, 0, 0, 401, 5
nginx-{openssl-1.0.2i}{zlib-1.2.7}, 0, 0, 399, 5
nginx-{openssl-1.0.2j}{zlib-1.2.7.2}, 0, 0, 398, 6
nginx-{openssl-1.0.2k}{zlib-1.2.11}, 0, 0, 400, 6
nginx-{openssl-1.0.2l}{zlib-1.2.10}, 0, 0, 413, 4
nginx-{openssl-1.0.2m}{zlib-1.2.9}, 0, 0, 412, 5
nginx-{openssl-1.0.2n}{zlib-1.2.9}, 1, 0, 408, 6
nginx-{openssl-1.0.2o}{zlib-1.2.7.2}, 0, 0, 410, 3
nginx-{openssl-1.0.2q}{zlib-1.2.9}, 0, 0, 407, 4
nginx-{openssl-1.0.2}{zlib-1.2.7.2}, 0, 0, 395, 9
parallelQuery done
--- totoal time: 462.020932913 seconds ---
